Time,DT9857E-16(00).Ain 1,DT9857E-16(00).Ain 2,DT9857E-16(00).Ain 3,DT9857E-16(00).Ain 4,DT9857E-16(00).Ain 5,,,QuickDAQ DATA
0.48,0.003919601,0.009534359,0.006080866,-0.001343489,4.37E-04,,,
0.485,0.004259348,0.00826478,0.002514124,-0.002138615,3.86E-04,,,
0.49,0.004661083,0.006901026,-2.00E-04,-0.002012253,4.42E-04,,,
0.495,0.004112721,0.005204678,-0.001652241,-0.001502037,3.27E-04,,,
0.5,0.002039671,0.002654791,-0.002738237,-0.001085997,2.19E-04,,,
0.505,-3.85E-04,3.41E-04,-0.003312826,-0.001089573,-1.03E-04,,,
0.51,-0.002037287,-0.002235174,-0.003813505,-0.002317429,-2.00E-04,,,
0.515,-0.002868176,-0.005931854,-0.004626513,-0.004128218,1.45E-04,,,
0.52,-0.003124476,-0.010051727,-0.005563498,-0.005179644,-4.24E-04,,,
0.525,-0.002828836,-0.013304949,-0.006545782,-0.005404949,-0.00107646,,,
0.53,-0.003777742,-0.014839172,-0.007932186,-0.005064011,-0.001331568,,,
0.535,-0.005589724,-0.016378164,-0.009355545,-0.00379324,-0.001291037,,,
0.54,-0.008175373,-0.018765926,-0.010390282,-0.002679825,-9.47E-04,,,
0.545,-0.010539293,-0.020946264,-0.012123585,-0.002490282,-0.001311302,,,
0.55,-0.011893511,-0.022298098,-0.0149405,-0.002672672,-9.68E-04,,,
0.555,-0.012546778,-0.023299456,-0.017910004,-0.003880262,-6.84E-04,,,
0.56,-0.012270212,-0.024027824,-0.019441843,-0.004863739,3.46E-05,,,
0.565,-0.011916161,-0.024659634,-0.020349026,-0.005911589,5.53E-04,,,
0.57,-0.010564327,-0.024766922,-0.020625591,-0.006906986,0.001006126,,,
0.575,-0.009166002,-0.024784803,-0.021163225,-0.007984638,5.25E-04,,,
0.58,-0.007790327,-0.025570393,-0.022684336,-0.008776188,-1.96E-04,,,
0.585,-0.006239414,-0.026569367,-0.023705959,-0.009520054,-0.001713038,,,
0.59,-0.005589724,-0.026863813,-0.024220944,-0.011364222,-0.003340244,,,
0.595,-0.006051064,-0.026139021,-0.024861097,-0.013235807,-0.004174709,,,
0.6,-0.00703454,-0.025324822,-0.024943352,-0.013799667,-0.004981756,,,
0.605,-0.008288622,-0.024039745,-0.02458334,-0.014247894,-0.005126,,,
0.61,-0.010054112,-0.021790266,-0.024454594,-0.01560688,-0.004602671,,,
0.615,-0.010397434,-0.019279718,-0.024654865,-0.016931295,-0.003454685,,,
0.62,-0.009862185,-0.017546415,-0.024905205,-0.018455982,-0.002487898,,,
0.625,-0.009198189,-0.016824007,-0.024456978,-0.019603968,-0.002237558,,,
0.63,-0.007535219,-0.016020536,-0.023143292,-0.019901991,-0.002806187,,,
0.635,-0.006560087,-0.014634132,-0.021716356,-0.01957655,-0.003662109,,,
0.64,-0.00570178,-0.013363361,-0.020546913,-0.018614531,-0.00425458,,,
0.645,-0.004887581,-0.012362003,-0.019567013,-0.017307997,-0.00467062,,,
0.65,-0.003476143,-0.010914803,-0.017529726,-0.016202927,-0.005477667,,,
0.655,-0.001809597,-0.008933544,-0.014866591,-0.016031265,-0.005904436,,,
0.66,0.001068115,-0.006941557,-0.012767315,-0.015829802,-0.006150007,,,
0.665,0.004361868,-0.006171465,-0.011771917,-0.01365304,-0.005799532,,,
0.67,0.006097555,-0.005533695,-0.011463165,-0.011575222,-0.00481844,,,
0.675,0.006488562,-0.003601313,-0.010396242,-0.009583235,-0.003640652,,,
0.68,0.006502867,-0.001446009,-0.008500814,-0.006127358,-0.00261426,,,
0.685,0.005376339,5.53E-04,-0.004775524,-0.003561974,-0.001494885,,,
0.69,0.004261732,0.002315044,-8.30E-04,-0.001821518,-6.38E-04,,,
0.695,0.003869534,0.004322529,0.002484322,-8.03E-04,4.28E-04,,,
0.7,0.00390172,0.00707984,0.004861355,-1.81E-04,8.86E-04,,,
0.705,0.004067421,0.00928402,0.007122755,9.69E-04,0.001323223,,,
0.71,0.00459671,0.010063648,0.009961128,0.00284195,0.001864433,,,
0.715,0.00476718,0.009974241,0.014162064,0.005167723,0.002349615,,,
0.72,0.004041195,0.010432005,0.018191338,0.007926226,0.002267361,,,
0.725,0.003470182,0.012000799,0.020768642,0.01098156,0.00246644,,,
0.73,0.004481077,0.013176203,0.022342205,0.014169216,0.002348423,,,
0.735,0.006506443,0.014423132,0.023046732,0.016452074,0.00280261,,,
0.74,0.008169413,0.015183687,0.023211241,0.018078089,0.003653765,,,
0.745,0.009542704,0.015543699,0.023949146,0.020071268,0.004489422,,,
0.75,0.009591579,0.015718937,0.025485754,0.022056103,0.006223917,,,
0.755,0.008274317,0.016871691,0.026835203,0.023344755,0.008134842,,,
0.76,0.006395578,0.018407106,0.027667284,0.024642944,0.009307861,,,
0.765,0.004749298,0.020071268,0.028243065,0.025273562,0.008569956,,,
0.77,0.004312992,0.020537376,0.028839111,0.025802851,0.007143021,,,
0.775,0.005156994,0.020081997,0.030515194,0.026099682,0.005666018,,,
0.78,0.006022453,0.018965006,0.032608509,0.025821924,0.004786253,,,
0.785,0.006000996,0.016872883,0.034009218,0.024137497,0.003551245,,,
0.79,0.005675554,0.015074015,0.033985376,0.022255182,0.003368855,,,
0.795,0.005637407,0.01439929,0.033270121,0.019797087,0.003492832,,,
0.8,0.0050807,0.013824701,0.033327341,0.017557144,0.003780127,,,
0.805,0.004130602,0.013549328,0.032644272,0.015050173,0.003744364,,,
0.81,0.004322529,0.013529062,0.030368567,0.013056994,0.003572702,,,
0.815,0.004786253,0.013803244,0.02699852,0.01232028,0.003722906,,,
0.82,0.004889965,0.014010668,0.022909641,0.011914969,0.003459454,,,
0.825,0.005264282,0.013438463,0.018930435,0.011914969,0.00243783,,,
0.83,0.00502944,0.013114214,0.015246868,0.01175642,0.001682043,,,
0.835,0.004825592,0.013109446,0.011512041,0.010352135,0.001218319,,,
0.84,0.006028414,0.013264418,0.007990599,0.008738041,0.001167059,,,
0.845,0.007194281,0.012596846,0.005168915,0.005902052,0.001630783,,,
0.85,0.007301569,0.010359287,0.003386736,0.002634525,0.00109911,,,
0.855,0.007886887,0.007358789,0.001350641,-6.75E-04,0.001333952,,,
0.86,0.008969307,0.004438162,-0.001385212,-0.003458262,0.001596212,,,
0.865,0.008951426,0.002448559,-0.003641844,-0.005297661,7.44E-04,,,
0.87,0.007531643,0.001660585,-0.005228519,-0.006840229,-0.001114607,,,
0.875,0.006194115,0.001176596,-0.007059574,-0.008840561,-0.003037453,,,
0.88,0.004481077,1.75E-04,-0.008960962,-0.011261702,-0.004116297,,,
0.885,0.002634525,-9.93E-04,-0.011577606,-0.013763905,-0.00483036,,,
0.89,0.001348257,-0.002360344,-0.013947487,-0.016334057,-0.005230904,,,
0.895,1.22E-04,-0.004246235,-0.015491247,-0.018898249,-0.005083084,,,
0.9,-0.001471043,-0.006763935,-0.01593709,-0.020486116,-0.004482269,,,
0.905,-0.002205372,-0.009816885,-0.016797781,-0.020720959,-0.004483461,,,
0.91,-0.002228022,-0.012398958,-0.017819405,-0.02056241,-0.004656315,,,
0.915,-0.001950264,-0.013659,-0.018404722,-0.019931793,-0.00577569,,,
0.92,-0.001635552,-0.0151968,-0.018972158,-0.018749237,-0.006093979,,,
0.925,-0.002295971,-0.017336607,-0.020436049,-0.016390085,-0.006716251,,,
0.93,-0.003833771,-0.02014041,-0.022830963,-0.013754368,-0.006520748,,,
0.935,-0.005706549,-0.022138357,-0.02428174,-0.011991262,-0.005249977,,,
0.94,-0.007652044,-0.023062229,-0.024284124,-0.011280775,-0.003176928,,,
0.945,-0.009595156,-0.023548603,-0.023428202,-0.011098385,-9.88E-04,,,
0.95,-0.011912584,-0.024371147,-0.022188425,-0.011103153,9.04E-04,,,
0.955,-0.014231205,-0.025172234,-0.02102375,-0.0101614,0.001980066,,,
0.96,-0.01580596,-0.026196241,-0.020707846,-0.009573698,0.001920462,,,
0.965,-0.016771555,-0.027235746,-0.02055645,-0.008362532,6.95E-04,,,
0.97,-0.017076731,-0.02841115,-0.020272732,-0.006916523,-8.73E-04,,,
0.975,-0.016707182,-0.028581619,-0.018919706,-0.005933046,-0.002220869,,,
0.98,-0.016195774,-0.028160811,-0.017303228,-0.005756617,-0.002521277,,,
0.985,-0.015224218,-0.027518272,-0.015335083,-0.005609989,-0.002015829,,,
0.99,-0.013587475,-0.026814938,-0.014081001,-0.005646944,-0.001324415,,,
0.995,-0.012065172,-0.025837421,-0.013884306,-0.005851984,-4.71E-04,,,
1,-0.010318756,-0.023657084,-0.014756918,-0.006160736,-3.18E-04,,,
1.005,-0.007641316,-0.020883083,-0.015981197,-0.005532503,-2.09E-04,,,
1.01,-0.004929304,-0.018476248,-0.016825199,-0.004251003,-1.88E-04,,,
1.015,-0.00302434,-0.015810728,-0.016752482,-0.002907515,2.56E-04,,,
1.02,-0.001453161,-0.013076067,-0.015622377,-0.002366304,8.70E-05,,,
1.025,8.11E-05,-0.010348558,-0.01414299,-0.002677441,-3.23E-04,,,
1.03,0.001077652,-0.008200407,-0.012632608,-0.003453493,-2.40E-04,,,
1.035,0.001534224,-0.006723404,-0.011194944,-0.004696846,-1.49E-04,,,
1.04,0.001497269,-0.004056692,-0.008910894,-0.006722212,-1.97E-04,,,
1.045,0.001327992,-7.81E-04,-0.005732775,-0.008187294,-9.63E-04,,,
1.05,0.00148654,0.001784563,-0.002914667,-0.007995367,-0.001990795,,,
1.055,0.002280474,0.003211498,-2.62E-04,-0.007771254,-0.002890825,,,
1.06,0.002676249,0.004117489,0.001938343,-0.007659197,-0.003849268,,,
1.065,0.003705025,0.005121231,0.00428319,-0.007202625,-0.004496574,,,
1.07,0.004681349,0.006473064,0.006356239,-0.006831884,-0.004513264,,,
1.075,0.005601645,0.008833408,0.008203983,-0.006024838,-0.003367662,,,
1.08,0.005637407,0.010988712,0.009046793,-0.004708767,-0.001571178,,,
1.085,0.005636215,0.012642145,0.009514093,-0.002928972,-5.60E-05,,,
1.09,0.005433559,0.014262199,0.011091232,-5.34E-04,0.001173019,,,
1.095,0.00524044,0.016533136,0.013384819,0.002325773,0.00217557,,,
1.1,0.005838871,0.018599033,0.015180111,0.005484819,0.00233531,,,
1.105,0.00751853,0.019091368,0.016105175,0.007675886,0.00210166,,,
1.11,0.00962615,0.019140244,0.016260147,0.009945631,0.001008511,,,
1.115,0.011714697,0.0192523,0.016390085,0.011670589,4.57E-04,,,
1.12,0.012751818,0.019962788,0.017569065,0.012894869,0.00107646,,,
1.125,0.012865067,0.020427704,0.019097328,0.013823509,0.001730919,,,
1.13,0.013096333,0.020612478,0.020546913,0.013942719,0.002574921,,,
1.135,0.012848377,0.020745993,0.022810698,0.013487339,0.003993511,,,
1.14,0.012611151,0.020594597,0.025411844,0.013233423,0.004905462,,,
1.145,0.012477636,0.020288229,0.026926994,0.013284683,0.005042553,,,
1.15,0.011873245,0.019892454,0.027378798,0.01403451,0.003925562,,,
1.155,0.010538101,0.020009279,0.026879311,0.014687777,0.003333092,,,
1.16,0.00898242,0.020349026,0.027008057,0.016000271,0.002794266,,,
1.165,0.007439852,0.020707846,0.02772212,0.017399788,0.002465248,,,
1.17,0.005689859,0.019990206,0.027667284,0.017925501,0.002496243,,,
1.175,0.004864931,0.018174648,0.027282238,0.018390417,0.002928972,,,
1.18,0.005244017,0.015528202,0.026283264,0.019370318,0.004035235,,,
1.185,0.00590086,0.013718605,0.025467873,0.020550489,0.005754232,,,
1.19,0.005167723,0.011518002,0.02446413,0.021541119,0.006591082,,,
1.195,0.004178286,0.01006484,0.023238659,0.021568537,0.006856918,,,
1.2,0.002565384,0.009199381,0.021439791,0.020865202,0.006937981,,,
1.205,7.53E-04,0.008454323,0.018572807,0.019971132,0.006612539,,,
1.21,-6.31E-04,0.007234812,0.016217232,0.018070936,0.006417036,,,
1.215,-0.00145793,0.005794764,0.014110804,0.015360117,0.005571842,,,
1.22,-0.002274513,0.004992485,0.012174845,0.012335777,0.004541874,,,
1.225,-0.001945496,0.003266335,0.010317564,0.009582043,0.003377199,,,
1.23,-9.42E-04,3.03E-04,0.008975267,0.00772953,0.001950264,,,
1.235,-0.001245737,-0.002472401,0.007863045,0.004756451,2.62E-05,,,
1.24,-0.001971722,-0.004403591,0.006246567,0.001454353,-0.001636744,,,
1.245,-0.002923012,-0.00521183,0.004217625,-0.00166893,-0.002650023,,,
1.25,-0.002512932,-0.005502701,0.001323223,-0.004855394,-0.003699064,,,
1.255,-0.001198053,-0.006468296,-0.002192259,-0.008069277,-0.0032866,,,
1.26,6.38E-04,-0.007054806,-0.006040335,-0.010994673,-0.002838373,,,
1.265,0.002266169,-0.007857084,-0.011026859,-0.013046265,-0.002590418,,,
1.27,0.003027916,-0.007824898,-0.016236305,-0.014106035,-0.002843142,,,
1.275,0.002331734,-0.008087158,-0.020651817,-0.014894009,-0.00357151,,,
1.28,5.85E-04,-0.008728504,-0.023320913,-0.015528202,-0.004372597,,,
1.285,-0.00136137,-0.009580851,-0.02477169,-0.016440153,-0.004663467,,,
1.29,-0.001446009,-0.011062622,-0.025655031,-0.01767993,-0.003602505,,,
1.295,-8.26E-04,-0.012717247,-0.026882887,-0.019050837,-0.002554655,,,
1.3,1.79E-05,-0.013468266,-0.028349161,-0.021413565,-0.002290011,,,
1.305,4.24E-04,-0.014448166,-0.029338598,-0.022774935,-0.002962351,,,
1.31,-1.99E-04,-0.016508102,-0.02923131,-0.022941828,-0.004471541,,,
1.315,-0.002599955,-0.019222498,-0.029205084,-0.022220612,-0.00652194,,,
1.32,-0.004786253,-0.021407604,-0.028394461,-0.021265745,-0.007807016,,,
1.325,-0.006901026,-0.022352934,-0.026949644,-0.019693375,-0.00808835,,,
1.33,-0.008859634,-0.022832155,-0.026277304,-0.018620491,-0.006936789,,,
1.335,-0.010150671,-0.022860766,-0.026903153,-0.018057823,-0.004991293,,,
1.34,-0.010265112,-0.022763014,-0.027296543,-0.017536879,-0.002660751,,,
1.345,-0.01085639,-0.022287369,-0.026564598,-0.017641783,-8.43E-04,,,
1.35,-0.010864735,-0.021102428,-0.024366379,-0.017650127,-5.17E-04,,,
1.355,-0.010848045,-0.020455122,-0.022230148,-0.016089678,-0.001276732,,,
1.36,-0.009746552,-0.020473003,-0.020433664,-0.013793707,-0.002448559,,,
1.365,-0.009146929,-0.021080971,-0.019119978,-0.011438131,-0.003455877,,,
1.37,-0.007647276,-0.021207333,-0.017689467,-0.009461641,-0.004470348,,,
1.375,-0.005822182,-0.020974875,-0.015437603,-0.008256435,-0.004383326,,,
1.38,-0.004909039,-0.019630194,-0.014178753,-0.007617474,-0.003902912,,,
1.385,-0.004636049,-0.016899109,-0.013554096,-0.007466078,-0.003516674,,,
1.39,-0.004986525,-0.014106035,-0.01146555,-0.007244349,-0.002770424,,,
1.395,-0.004734993,-0.011324883,-0.008746386,-0.006790161,-0.001708269,,,
1.4,-0.004395247,-0.009002686,-0.006475449,-0.005278587,-5.87E-04,,,
1.405,-0.003199577,-0.007451773,-0.004082918,-0.003275871,7.86E-04,,,
1.41,-0.00316143,-0.00617981,-0.00235796,-0.001637936,8.70E-04,,,
1.415,-0.002814531,-0.00483036,-0.001175404,5.16E-04,7.24E-04,,,
1.42,-0.002375841,-0.002686977,2.34E-04,0.002083778,8.44E-04,,,
1.425,-0.001122952,-1.76E-04,0.002539158,0.003460646,0.001311302,,,
1.43,-4.54E-04,0.002170801,0.005079508,0.004791021,0.002083778,,,
1.435,3.71E-04,0.003931522,0.007359982,0.005861521,0.002912283,,,
1.44,0.001945496,0.00507474,0.009422302,0.007734299,0.003247261,,,
1.445,0.003246069,0.006407499,0.011394024,0.008631945,0.003689528,,,
1.45,0.003989935,0.006955862,0.012527704,0.010067225,0.003303289,,,
1.455,0.006000996,0.007500649,0.013391972,0.011332035,0.002764463,,,
1.46,0.007812977,0.008658171,0.014308691,0.012689829,0.002496243,,,
1.465,0.009337664,0.010589361,0.015516281,0.012736321,0.002138615,,,
1.47,0.010201931,0.013034344,0.017037392,0.012174845,0.003018379,,,
1.475,0.009390116,0.015484095,0.018801689,0.011239052,0.003573895,,,
1.48,0.008319616,0.017347336,0.020067692,0.010832548,0.004179478,,,
1.485,0.008004904,0.018811226,0.020946264,0.010055304,0.004761219,,,
1.49,0.008449554,0.019651651,0.022025108,0.009354353,0.004167557,,,
1.495,0.009182692,0.020115376,0.023065805,0.00895381,0.002555847,,,
1.5,0.009840727,0.020524263,0.024571419,0.009052753,1.93E-04,,,
1.505,0.009782314,0.020760298,0.025877953,0.009828806,-0.001785755,,,
1.51,0.009969473,0.02032876,0.026786327,0.01028657,-0.002502203,,,
1.515,0.010432005,0.020289421,0.026044846,0.00998497,-0.00210166,,,
1.52,0.01120925,0.020766258,0.025154352,0.009465218,-3.78E-04,,,
1.525,0.011329651,0.021345615,0.023993254,0.00798583,0.001878738,,,
1.53,0.010540485,0.02171278,0.022677183,0.007410049,0.003987551,,,
1.535,0.009547472,0.021321774,0.021502972,0.007801056,0.004733801,,,
1.54,0.008673668,0.020631552,0.020858049,0.00872612,0.004794598,,,
1.545,0.00818491,0.020231009,0.020582676,0.0101614,0.004330874,,,
1.55,0.006923676,0.019968748,0.019824505,0.010838509,0.003201962,,,
1.555,0.006097555,0.019105673,0.01914978,0.011535883,0.002461672,,,
1.56,0.005965233,0.017911196,0.018376112,0.010924339,0.001941919,,,
1.565,0.006937981,0.016131401,0.017477274,0.010355711,0.001564026,,,
1.57,0.008044243,0.01332283,0.016477108,0.00972867,0.001151562,,,
1.575,0.008573532,0.010118485,0.015524626,0.009243488,0.001609325,,,
1.58,0.00772357,0.007045269,0.014568567,0.008977652,0.001940727,,,
1.585,0.006365776,0.005278587,0.014077425,0.009126663,0.002194643,,,
1.59,0.005295277,0.00423193,0.0127244,0.008893013,0.00158906,,,
1.595,0.003496409,0.003256798,0.01052022,0.008199215,0.001136065,,,
1.6,0.002607107,0.002561808,0.007911921,0.006514788,0.001460314,,,
1.605,0.001869202,0.002182722,0.005075932,0.004587174,0.001950264,,,
1.61,0.001778603,0.00176549,0.001263619,0.00305295,0.002318621,,,
1.615,0.001575947,9.49E-04,-0.001931191,0.001424551,0.002471209,,,
1.62,8.51E-04,-0.001323223,-0.003442764,1.36E-04,0.002757311,,,
1.625,-1.23E-04,-0.004085302,-0.00323534,-0.0012815,0.002136231,,,
1.63,-0.001101494,-0.005936623,-0.00336051,-0.002975464,7.55E-04,,,
1.635,-0.001825094,-0.008120537,-0.004531145,-0.004905462,-7.32E-04,,,
1.64,-0.002002716,-0.01026988,-0.006340742,-0.007202625,-0.002738237,,,
1.645,-0.002120733,-0.012578964,-0.008225441,-0.009586811,-0.003778935,,,
1.65,-0.00262022,-0.014065504,-0.010032654,-0.011155605,-0.004502535,,,
1.655,-0.003815889,-0.015019178,-0.011422634,-0.012440682,-0.004199743,,,
1.66,-0.00546813,-0.015671253,-0.013388395,-0.013104677,-0.0032866,,,
1.665,-0.007733107,-0.016106367,-0.015480518,-0.012991428,-0.002315044,,,
1.67,-0.010983944,-0.016927719,-0.017009974,-0.013092756,-0.00238657,,,
1.675,-0.013138056,-0.017656088,-0.018731356,-0.013841391,-0.00270009,,,
1.68,-0.013177395,-0.018440485,-0.020816326,-0.014779568,-0.002775192,,,
1.685,-0.012176037,-0.02009511,-0.022587776,-0.015394688,-0.002428293,,,
1.69,-0.010195971,-0.022389889,-0.023434162,-0.015330315,-0.002559423,,,
1.695,-0.008163452,-0.024008751,-0.024023056,-0.015254021,-0.002604723,,,
1.7,-0.007297993,-0.024793148,-0.02415657,-0.015339851,-0.002655983,,,
1.705,-0.006555319,-0.024883747,-0.024183989,-0.014990568,-0.002609491,,,
1.71,-0.005704165,-0.024783611,-0.02465725,-0.014162064,-0.002954006,,,
1.715,-0.005232096,-0.025057793,-0.025256872,-0.013563633,-0.003559589,,,
1.72,-0.004873276,-0.025156736,-0.025494099,-0.013439655,-0.003510714,,,
1.725,-0.0043118,-0.025210381,-0.025764704,-0.013194084,-0.003572702,,,
1.73,-0.004675388,-0.024030209,-0.025982857,-0.012998581,-0.003004074,,,
